date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:24:29	35037/35037	---M-Z	200	added ('OK')	text/html	etag:%22452f920b3ddd8da086d79f960099140b%22	https://lingering-paper-4182.animaapp.io/desktop-1440?r=1&p=pos9P0h&h=desktop-1440&pages=WyJkZXNrdG9wLTE0NDAiLCJpbnN0YWdyYW0tcG9zdC0zIl0=	G:/Documents/UpWork/Top/top/lingering-paper-4182.animaapp.io/desktop-1440792f.html	(from )
13:24:30	10834/10834	---M--	404	error ('Not%20Found')	text/html	etag:%225e4efb81f812b5374b4acb1ff4d7db3f%22	https://lingering-paper-4182.animaapp.io/robots.txt		(from )
13:24:31	711/711	---M--	200	added ('OK')	image/png	etag:%22953edcb1dd819a227dfe8a9fc2066ddd%22	https://animaproject.s3.amazonaws.com/home/favicon.png	G:/Documents/UpWork/Top/top/animaproject.s3.amazonaws.com/home/favicon.png	(from https://lingering-paper-4182.animaapp.io/desktop-1440?r=1&p=pos9P0h&h=desktop-1440&pages=WyJkZXNrdG9wLTE0NDAiLCJpbnN0YWdyYW0tcG9zdC0zIl0=)
13:24:32	879/879	---M--	200	added ('OK')	application/javascript	etag:%22700a34802e2189020c128ad554a5faf5%22	https://animaapp.s3.amazonaws.com/js/typescript/jquery/3.2.0/jquery.js	G:/Documents/UpWork/Top/top/animaapp.s3.amazonaws.com/js/typescript/jquery/3.2.0/jquery.js	(from https://lingering-paper-4182.animaapp.io/desktop-1440?r=1&p=pos9P0h&h=desktop-1440&pages=WyJkZXNrdG9wLTE0NDAiLCJpbnN0YWdyYW0tcG9zdC0zIl0=)
13:24:33	165953/165953	---M--	200	added ('OK')	application/javascript	etag:%22886ae1b5bcfd4ea0bf36d92cc3de7222%22	https://lingering-paper-4182.animaapp.io/hotspots.js	G:/Documents/UpWork/Top/top/lingering-paper-4182.animaapp.io/hotspots.js	(from https://lingering-paper-4182.animaapp.io/desktop-1440?r=1&p=pos9P0h&h=desktop-1440&pages=WyJkZXNrdG9wLTE0NDAiLCJpbnN0YWdyYW0tcG9zdC0zIl0=)
13:24:33	0/0	---M--	200	added ('OK')	text/html	date:Sat,%2025%20Jun%202022%2012:24:33%20GMT	https://lingering-paper-4182.animaapp.io/overrides.js	G:/Documents/UpWork/Top/top/lingering-paper-4182.animaapp.io/overrides.4.delayed	(from https://lingering-paper-4182.animaapp.io/desktop-1440?r=1&p=pos9P0h&h=desktop-1440&pages=WyJkZXNrdG9wLTE0NDAiLCJpbnN0YWdyYW0tcG9zdC0zIl0=)
13:24:34	38945/38945	---M--	200	added ('OK')	application/javascript	etag:%22a7cf816a5cfecede645a35bfe92635d4%22	https://animaapp.s3.amazonaws.com/js/timeline.js	G:/Documents/UpWork/Top/top/animaapp.s3.amazonaws.com/js/timeline.js	(from https://lingering-paper-4182.animaapp.io/desktop-1440?r=1&p=pos9P0h&h=desktop-1440&pages=WyJkZXNrdG9wLTE0NDAiLCJpbnN0YWdyYW0tcG9zdC0zIl0=)
13:24:34	773/773	---M-Z	200	added ('OK')	text/css	etag:%225eb03f23-305%22	https://cdnjs.cloudflare.com/ajax/libs/meyer-reset/2.0/reset.min.css	G:/Documents/UpWork/Top/top/cdnjs.cloudflare.com/ajax/libs/meyer-reset/2.0/reset.min.css	(from https://lingering-paper-4182.animaapp.io/desktop-1440?r=1&p=pos9P0h&h=desktop-1440&pages=WyJkZXNrdG9wLTE0NDAiLCJpbnN0YWdyYW0tcG9zdC0zIl0=)
13:24:35	0/0	---M--	200	added ('OK')	image/png	date:Sat,%2025%20Jun%202022%2012:24:35%20GMT	https://px.animaapp.com/607217ce018db5cba1c2579b.607217d017a50b8a6cb86007.pos9P0h.hch.png	G:/Documents/UpWork/Top/top/px.animaapp.com/607217ce018db5cba1c2579b.607217d017a50b8a6cb86007.pos9P0h.hch.7.delayed	(from https://lingering-paper-4182.animaapp.io/desktop-1440?r=1&p=pos9P0h&h=desktop-1440&pages=WyJkZXNrdG9wLTE0NDAiLCJpbnN0YWdyYW0tcG9zdC0zIl0=)
13:24:36	13557/13557	---M--	200	added ('OK')	image/png	etag:%224b10577a830d2333b18393cf704fde8b%22	https://cdn.animaapp.com/projects/6072190e1cbf6753a27ce1f5/releases/62b6e7e733557fdd448b3102/img/logo-3@2x.png	G:/Documents/UpWork/Top/top/cdn.animaapp.com/projects/6072190e1cbf6753a27ce1f5/releases/62b6e7e733557fdd448b3102/img/logo-3@2x.png	(from https://lingering-paper-4182.animaapp.io/desktop-1440?r=1&p=pos9P0h&h=desktop-1440&pages=WyJkZXNrdG9wLTE0NDAiLCJpbnN0YWdyYW0tcG9zdC0zIl0=)
13:24:38	812571/812571	---M--	200	added ('OK')	image/png	etag:%22b97c949bec3feaff96919cc32abb419d%22	https://cdn.animaapp.com/projects/6072190e1cbf6753a27ce1f5/releases/62b6e7e733557fdd448b3102/img/photo-2022-05-04-23-53-05-1@1x.png	G:/Documents/UpWork/Top/top/cdn.animaapp.com/projects/6072190e1cbf6753a27ce1f5/releases/62b6e7e733557fdd448b3102/img/photo-2022-05-04-23-53-05-1@1x.png	(from https://lingering-paper-4182.animaapp.io/desktop-1440?r=1&p=pos9P0h&h=desktop-1440&pages=WyJkZXNrdG9wLTE0NDAiLCJpbnN0YWdyYW0tcG9zdC0zIl0=)
13:24:38	338286/338286	---M--	200	added ('OK')	image/png	etag:%22e53f05a1401bd69a7331bcb05ec82495%22	https://cdn.animaapp.com/projects/6072190e1cbf6753a27ce1f5/releases/62b6e7e733557fdd448b3102/img/photo-2022-05-04-23-53-10-1@2x.png	G:/Documents/UpWork/Top/top/cdn.animaapp.com/projects/6072190e1cbf6753a27ce1f5/releases/62b6e7e733557fdd448b3102/img/photo-2022-05-04-23-53-10-1@2x.png	(from https://lingering-paper-4182.animaapp.io/desktop-1440?r=1&p=pos9P0h&h=desktop-1440&pages=WyJkZXNrdG9wLTE0NDAiLCJpbnN0YWdyYW0tcG9zdC0zIl0=)
13:24:39	602277/602277	---M--	200	added ('OK')	image/png	etag:%224cf521d6db160e5a1131186d0194d336%22	https://cdn.animaapp.com/projects/6072190e1cbf6753a27ce1f5/releases/62b6e7e733557fdd448b3102/img/photo-2022-05-04-23-53-13-1@2x.png	G:/Documents/UpWork/Top/top/cdn.animaapp.com/projects/6072190e1cbf6753a27ce1f5/releases/62b6e7e733557fdd448b3102/img/photo-2022-05-04-23-53-13-1@2x.png	(from https://lingering-paper-4182.animaapp.io/desktop-1440?r=1&p=pos9P0h&h=desktop-1440&pages=WyJkZXNrdG9wLTE0NDAiLCJpbnN0YWdyYW0tcG9zdC0zIl0=)
13:24:41	1045510/1045510	---M--	200	added ('OK')	image/png	etag:%22ec918ef2f4096ee87c3810b3734ab263%22	https://cdn.animaapp.com/projects/6072190e1cbf6753a27ce1f5/releases/62b6e7e733557fdd448b3102/img/photo-2022-05-04-23-53-02-1@2x.png	G:/Documents/UpWork/Top/top/cdn.animaapp.com/projects/6072190e1cbf6753a27ce1f5/releases/62b6e7e733557fdd448b3102/img/photo-2022-05-04-23-53-02-1@2x.png	(from https://lingering-paper-4182.animaapp.io/desktop-1440?r=1&p=pos9P0h&h=desktop-1440&pages=WyJkZXNrdG9wLTE0NDAiLCJpbnN0YWdyYW0tcG9zdC0zIl0=)
13:24:41	0/0	---M--	302	error ('Moved%20Temporarily')	text/html	date:Sat,%2025%20Jun%202022%2012:24:41%20GMT	https://lingering-paper-4182.animaapp.io/launchpad-js/launchpad-banner.js	G:/Documents/UpWork/Top/top/lingering-paper-4182.animaapp.io/launchpad-js/launchpad-banner.e.delayed	(from https://lingering-paper-4182.animaapp.io/desktop-1440?r=1&p=pos9P0h&h=desktop-1440&pages=WyJkZXNrdG9wLTE0NDAiLCJpbnN0YWdyYW0tcG9zdC0zIl0=)
